Region,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Area
Bihar, 30-06-2019,Monthly,13.29,3248864,39.35,Urban
Bihar, 31-07-2019,Monthly,16.41,3059744,38.36,Urban
Bihar, 31-08-2019,Monthly,17.66,2994763,38.03,Urban
Bihar, 30-09-2019,Monthly,20.46,2992082,39.25,Urban
Bihar, 31-10-2019,Monthly,14.06,3173429,38.45,Urban
Bihar, 30-11-2019,Monthly,17.62,3081077,38.86,Urban
Bihar, 31-12-2019,Monthly,14.91,2977857,36.29,Urban
Bihar, 31-01-2020,Monthly,20.69,2988665,38.99,Urban
Bihar, 29-02-2020,Monthly,15.11,3113464,37.87,Urban
Bihar, 31-03-2020,Monthly,15.73,3049637,37.29,Urban
Bihar, 30-04-2020,Monthly,58.77,1400962,34.94,Urban
Bihar, 31-05-2020,Monthly,37.87,2207026,36.45,Urban
Bihar, 30-06-2020,Monthly,12.45,3124663,36.54,Urban
Chandigarh, 31-05-2019,Monthly,18.35,348042,44.89,Urban
Chandigarh, 30-06-2019,Monthly,12.4,337145,40.44,Urban
Chandigarh, 31-07-2019,Monthly,21.8,294379,39.47,Urban
Chandigarh, 31-08-2019,Monthly,9.52,328282,37.95,Urban
Chandigarh, 30-09-2019,Monthly,20.14,327239,42.77,Urban
Chandigarh, 31-10-2019,Monthly,13.99,330856,40.06,Urban
Chandigarh, 30-11-2019,Monthly,22.05,289593,38.6,Urban
Chandigarh, 31-12-2019,Monthly,8.33,311146,35.19,Urban
Chandigarh, 31-01-2020,Monthly,20,332062,42.94,Urban
Chandigarh, 29-02-2020,Monthly,16.67,316887,39.25,Urban
Chandigarh, 31-03-2020,Monthly,21.43,279839,36.68,Urban
Chandigarh, 30-06-2020,Monthly,7.22,306505,33.8,Urban
Chhattisgarh, 31-05-2019,Monthly,9.77,2223129,45.61,Urban
Chhattisgarh, 30-06-2019,Monthly,11.77,2192020,45.88,Urban
Chhattisgarh, 31-07-2019,Monthly,8.17,2285436,45.85,Urban
Chhattisgarh, 31-08-2019,Monthly,6.29,2392400,46.91,Urban
Chhattisgarh, 30-09-2019,Monthly,9.46,2311507,46.8,Urban
Chhattisgarh, 31-10-2019,Monthly,10.27,2297096,46.82,Urban
Chhattisgarh, 30-11-2019,Monthly,8.32,2341284,46.59,Urban
Chhattisgarh, 31-12-2019,Monthly,3.57,2415436,45.59,Urban
Chhattisgarh, 31-01-2020,Monthly,9.01,2315972,46.21,Urban
Chhattisgarh, 29-02-2020,Monthly,9.79,2347941,47.14,Urban
Chhattisgarh, 31-03-2020,Monthly,8.21,2407509,47.39,Urban
Chhattisgarh, 30-04-2020,Monthly,20.13,1066126,24.06,Urban
Chhattisgarh, 31-05-2020,Monthly,24.1,1276291,30.24,Urban
Chhattisgarh, 30-06-2020,Monthly,27.07,1602231,39.41,Urban
Delhi, 31-05-2019,Monthly,12.31,5756475,44.17,Urban
Delhi, 30-06-2019,Monthly,12.76,5550172,42.71,Urban
Delhi, 31-07-2019,Monthly,14.68,5393091,42.34,Urban
Delhi, 31-08-2019,Monthly,13.52,5552510,42.9,Urban
Delhi, 30-09-2019,Monthly,20.59,5642253,47.36,Urban
Delhi, 31-10-2019,Monthly,12.41,6030363,45.78,Urban
Delhi, 30-11-2019,Monthly,16.11,5439600,43.02,Urban
Delhi, 31-12-2019,Monthly,11.07,5718337,42.56,Urban
Delhi, 31-01-2020,Monthly,22.45,5647493,48.09,Urban
Delhi, 29-02-2020,Monthly,14.86,5708807,44.18,Urban
Delhi, 31-03-2020,Monthly,17.09,5401392,42.82,Urban
Delhi, 30-04-2020,Monthly,16.51,3003787,23.59,Urban
Delhi, 31-05-2020,Monthly,45.78,2343783,28.28,Urban
Delhi, 30-06-2020,Monthly,18.11,4306807,34.32,Urban
Goa, 31-05-2019,Monthly,2.75,264855,34.17,Urban
Goa, 30-06-2019,Monthly,13.33,304015,43.96,Urban
Goa, 31-07-2019,Monthly,12.28,280367,40,Urban
Goa, 31-08-2019,Monthly,4.9,243277,31.97,Urban
Goa, 30-09-2019,Monthly,3.16,309643,39.92,Urban
Goa, 31-10-2019,Monthly,12.31,290264,41.27,Urban
Goa, 30-11-2019,Monthly,25.2,271612,45.22,Urban
Goa, 31-12-2019,Monthly,16.22,288154,42.77,Urban
Goa, 31-01-2020,Monthly,10.92,257814,35.95,Urban
Goa, 29-02-2020,Monthly,4.31,306396,39.73,Urban
Goa, 31-03-2020,Monthly,4.76,277093,36.05,Urban
Goa, 30-04-2020,Monthly,11.76,318957,44.74,Urban
Gujarat, 31-05-2019,Monthly,4.09,9686558,41.67,Urban
Gujarat, 30-06-2019,Monthly,6.31,10144965,44.57,Urban
Gujarat, 31-07-2019,Monthly,5.15,9828023,42.54,Urban
Gujarat, 31-08-2019,Monthly,4.2,10228154,43.72,Urban
Gujarat, 30-09-2019,Monthly,5.96,9609939,41.75,Urban
Gujarat, 31-10-2019,Monthly,5.45,10474217,45.14,Urban
Gujarat, 30-11-2019,Monthly,7.53,9896129,43.5,Urban
Gujarat, 31-12-2019,Monthly,5.71,10172812,43.75,Urban
Gujarat, 31-01-2020,Monthly,5.82,9824501,42.19,Urban
Gujarat, 29-02-2020,Monthly,6.04,10784753,46.31,Urban
Gujarat, 31-03-2020,Monthly,5.39,10083026,42.9,Urban
Gujarat, 30-04-2020,Monthly,25.94,6701284,36.33,Urban
Gujarat, 31-05-2020,Monthly,11.62,6072776,27.52,Urban
Gujarat, 30-06-2020,Monthly,4.54,10574711,44.26,Urban
Haryana, 31-05-2019,Monthly,24.67,2693596,43.18,Urban
Haryana, 30-06-2019,Monthly,20.42,2845190,43.06,Urban
Haryana, 31-07-2019,Monthly,25.45,2405973,38.77,Urban
Haryana, 31-08-2019,Monthly,24.19,2523005,39.87,Urban
Haryana, 30-09-2019,Monthly,26.84,2675862,43.7,Urban
Haryana, 31-10-2019,Monthly,21.04,2821456,42.58,Urban
Haryana, 30-11-2019,Monthly,27.06,2404239,39.18,Urban
Haryana, 31-12-2019,Monthly,23.65,2548835,39.57,Urban
Haryana, 31-01-2020,Monthly,27.24,2630938,42.75,Urban
Haryana, 29-02-2020,Monthly,23.29,2752834,42.32,Urban
Haryana, 31-03-2020,Monthly,27.14,2275407,36.73,Urban
Haryana, 30-04-2020,Monthly,46.89,1606580,35.48,Urban
Haryana, 31-05-2020,Monthly,38.46,2013083,38.27,Urban
Haryana, 30-06-2020,Monthly,29.41,2304138,38.09,Urban
Himachal Pradesh, 31-05-2019,Monthly,10.88,245668,45.27,Urban
Himachal Pradesh, 30-06-2019,Monthly,21.43,237576,49.58,Urban
Himachal Pradesh, 31-07-2019,Monthly,21.51,235894,49.22,Urban
Himachal Pradesh, 31-08-2019,Monthly,24.48,236315,51.17,Urban
Himachal Pradesh, 30-09-2019,Monthly,12,247210,45.87,Urban
Himachal Pradesh, 31-10-2019,Monthly,23.77,232322,49.69,Urban
Himachal Pradesh, 30-11-2019,Monthly,27.27,233029,52.17,Urban
Himachal Pradesh, 31-12-2019,Monthly,25.32,241366,52.55,Urban
Himachal Pradesh, 31-01-2020,Monthly,18.15,246596,48.92,Urban
Himachal Pradesh, 29-02-2020,Monthly,27.31,227804,50.82,Urban
Himachal Pradesh, 31-03-2020,Monthly,26.44,221432,48.74,Urban
Himachal Pradesh, 30-04-2020,Monthly,2.7,146957,24.42,Urban
Himachal Pradesh, 31-05-2020,Monthly,50,134868,43.55,Urban
Himachal Pradesh, 30-06-2020,Monthly,10.81,224902,40.66,Urban
Jammu & Kashmir, 31-05-2019,Monthly,23.04,1130139,46.74,Urban
Jammu & Kashmir, 30-06-2019,Monthly,19.88,1139815,45.17,Urban
Jammu & Kashmir, 31-07-2019,Monthly,21.55,1183770,47.8,Urban
Jammu & Kashmir, 31-10-2019,Monthly,24.06,1029087,42.63,Urban
Jammu & Kashmir, 30-11-2019,Monthly,14.29,1226793,44.92,Urban
Jammu & Kashmir, 31-12-2019,Monthly,7.02,1209085,40.71,Urban
Jammu & Kashmir, 31-01-2020,Monthly,18.54,1079537,41.4,Urban
Jammu & Kashmir, 29-02-2020,Monthly,19.86,1060116,41.23,Urban
Jammu & Kashmir, 31-03-2020,Monthly,14.29,998103,36.21,Urban
Jammu & Kashmir, 31-05-2020,Monthly,12.96,937435,33.33,Urban
Jharkhand, 31-05-2019,Monthly,17.23,2404033,43.25,Urban
Jharkhand, 30-06-2019,Monthly,20.51,2326911,43.51,Urban
Jharkhand, 31-07-2019,Monthly,15.67,2434579,42.82,Urban
Jharkhand, 31-08-2019,Monthly,20.25,2335406,43.35,Urban
Jharkhand, 30-09-2019,Monthly,21.16,2357627,44.18,Urban
Jharkhand, 31-10-2019,Monthly,19.05,2460196,44.82,Urban
Jharkhand, 30-11-2019,Monthly,17.34,2424281,43.17,Urban
Jharkhand, 31-12-2019,Monthly,22.01,2290170,43.14,Urban
Jharkhand, 31-01-2020,Monthly,22.96,2329293,44.33,Urban
Jharkhand, 29-02-2020,Monthly,19.67,2493023,45.42,Urban
Jharkhand, 31-03-2020,Monthly,16.4,2480661,43.34,Urban
Jharkhand, 30-04-2020,Monthly,61.48,1054829,39.92,Urban
Jharkhand, 31-05-2020,Monthly,70.17,830347,40.49,Urban
Jharkhand, 30-06-2020,Monthly,19.38,2244460,40.43,Urban
Karnataka, 31-05-2019,Monthly,6.56,8638239,40.62,Urban
Karnataka, 30-06-2019,Monthly,5,8862498,40.89,Urban
Karnataka, 31-07-2019,Monthly,2.29,8738029,39.09,Urban
Karnataka, 31-08-2019,Monthly,1.27,8614340,38.04,Urban
Karnataka, 30-09-2019,Monthly,3.57,8647794,39,Urban
Karnataka, 31-10-2019,Monthly,3.87,8799249,39.7,Urban
Karnataka, 30-11-2019,Monthly,3.44,8613835,38.6,Urban
Karnataka, 31-12-2019,Monthly,1.56,8592376,37.66,Urban
Karnataka, 31-01-2020,Monthly,3.31,8749154,38.94,Urban
Karnataka, 29-02-2020,Monthly,2.88,8924061,39.45,Urban
Karnataka, 31-03-2020,Monthly,4.92,9225835,41.55,Urban
Karnataka, 30-04-2020,Monthly,25.12,7387995,42.14,Urban
Karnataka, 31-05-2020,Monthly,15.88,8669258,43.9,Urban
Karnataka, 30-06-2020,Monthly,6.12,8822411,39.93,Urban
Kerala, 31-05-2019,Monthly,6.11,4605913,36.65,Urban
Kerala, 30-06-2019,Monthly,6.67,4678374,37.42,Urban
Kerala, 31-07-2019,Monthly,7.58,4105211,33.13,Urban
Kerala, 31-08-2019,Monthly,7.69,4448650,35.91,Urban
Kerala, 30-09-2019,Monthly,5.52,4640642,36.57,Urban
Kerala, 31-10-2019,Monthly,5.35,4644510,36.49,Urban
Kerala, 30-11-2019,Monthly,6.71,4062767,32.36,Urban
Kerala, 31-12-2019,Monthly,7.31,4440283,35.56,Urban
Kerala, 31-01-2020,Monthly,6.65,4597507,36.53,Urban
Kerala, 29-02-2020,Monthly,6.08,4624444,36.48,Urban
Kerala, 31-03-2020,Monthly,9.14,4079775,33.24,Urban
Kerala, 30-04-2020,Monthly,21.43,2179106,20.51,Urban
Kerala, 31-05-2020,Monthly,30.28,2826118,29.95,Urban
Kerala, 30-06-2020,Monthly,12.17,4601293,38.68,Urban
Madhya Pradesh, 31-05-2019,Monthly,3.91,6692720,38.96,Urban
Madhya Pradesh, 30-06-2019,Monthly,6.38,6509340,38.8,Urban
Madhya Pradesh, 31-07-2019,Monthly,7.38,6266446,37.67,Urban
Madhya Pradesh, 31-08-2019,Monthly,6.82,6809834,40.6,Urban
Madhya Pradesh, 30-09-2019,Monthly,7,6655967,39.67,Urban
Madhya Pradesh, 31-10-2019,Monthly,4.4,6603715,38.2,Urban
Madhya Pradesh, 30-11-2019,Monthly,6.06,6459457,37.94,Urban
Madhya Pradesh, 31-12-2019,Monthly,6.2,6787403,39.83,Urban
Madhya Pradesh, 31-01-2020,Monthly,5.17,6834930,39.59,Urban
Madhya Pradesh, 29-02-2020,Monthly,4.96,6533435,37.68,Urban
Madhya Pradesh, 31-03-2020,Monthly,4.8,6386723,36.68,Urban
Madhya Pradesh, 30-04-2020,Monthly,11.94,4802873,29.76,Urban
Madhya Pradesh, 31-05-2020,Monthly,40.49,3879934,35.49,Urban
Madhya Pradesh, 30-06-2020,Monthly,12.72,6221562,38.72,Urban
Maharashtra, 31-05-2019,Monthly,6.08,16962574,38.3,Urban
Maharashtra, 30-06-2019,Monthly,6.46,17375053,39.3,Urban
Maharashtra, 31-07-2019,Monthly,6.35,17215677,38.81,Urban
Maharashtra, 31-08-2019,Monthly,7.57,16602767,37.84,Urban
Maharashtra, 30-09-2019,Monthly,7.6,17396398,39.58,Urban
Maharashtra, 31-10-2019,Monthly,7.51,17221991,39.05,Urban
Maharashtra, 30-11-2019,Monthly,7.6,17486683,39.61,Urban
Maharashtra, 31-12-2019,Monthly,7.83,16581144,37.57,Urban
Maharashtra, 31-01-2020,Monthly,6.67,16715470,37.32,Urban
Maharashtra, 29-02-2020,Monthly,5.34,17122782,37.61,Urban
Maharashtra, 31-03-2020,Monthly,6.34,17065830,37.8,Urban
Maharashtra, 30-04-2020,Monthly,14.99,12674451,30.86,Urban
Maharashtra, 31-05-2020,Monthly,15.92,12365754,30.38,Urban
Maharashtra, 30-06-2020,Monthly,10.01,16172690,37.04,Urban
Meghalaya, 31-05-2019,Monthly,8.4,228978,47.79,Urban
Meghalaya, 30-06-2019,Monthly,8.66,231252,48.29,Urban
Meghalaya, 31-07-2019,Monthly,4.43,284015,56.55,Urban
Meghalaya, 31-08-2019,Monthly,5.8,259433,52.27,Urban
Meghalaya, 30-09-2019,Monthly,5.3,253887,50.77,Urban
Meghalaya, 31-10-2019,Monthly,7.2,234375,47.71,Urban
Meghalaya, 30-11-2019,Monthly,3.02,293431,57.02,Urban
Meghalaya, 31-12-2019,Monthly,5.21,267417,53.04,Urban
Meghalaya, 31-01-2020,Monthly,4.76,261687,51.53,Urban
Meghalaya, 29-02-2020,Monthly,7.37,233965,47.26,Urban
Meghalaya, 31-03-2020,Monthly,2.8,289735,55.64,Urban
Meghalaya, 30-04-2020,Monthly,17.39,161939,36.51,Urban
Meghalaya, 31-05-2020,Monthly,14.58,222916,48.48,Urban
Odisha, 31-05-2019,Monthly,2.95,2519582,41.26,Urban
Odisha, 30-06-2019,Monthly,2.63,2356290,38.39,Urban
Odisha, 31-07-2019,Monthly,1.78,2542237,40.99,Urban
Odisha, 31-08-2019,Monthly,3.5,2456983,40.25,Urban
Odisha, 30-09-2019,Monthly,3.78,2570663,42.15,Urban
Odisha, 31-10-2019,Monthly,4.5,2456855,40.51,Urban
Odisha, 30-11-2019,Monthly,2.23,2594469,41.71,Urban
Odisha, 31-12-2019,Monthly,3.36,2369048,38.46,Urban
Odisha, 31-01-2020,Monthly,2.28,2561320,41.05,Urban
Odisha, 29-02-2020,Monthly,2.19,2438080,38.97,Urban
Odisha, 31-03-2020,Monthly,3.96,2457952,39.93,Urban
Odisha, 30-04-2020,Monthly,20.5,1303244,25.53,Urban
Odisha, 31-05-2020,Monthly,10,1975481,34.12,Urban
Odisha, 30-06-2020,Monthly,2.18,2221069,35.24,Urban
Puducherry, 31-05-2019,Monthly,1.25,283905,35.71,Urban
Puducherry, 30-06-2019,Monthly,0,304369,37.73,Urban
Puducherry, 31-07-2019,Monthly,0,281117,34.77,Urban
Puducherry, 31-08-2019,Monthly,8.95,312882,42.41,Urban
Puducherry, 30-09-2019,Monthly,1.22,286573,35.73,Urban
Puducherry, 31-10-2019,Monthly,1.17,312548,38.86,Urban
Puducherry, 30-11-2019,Monthly,1.37,275003,34.19,Urban
Puducherry, 31-12-2019,Monthly,5.21,313135,40.42,Urban
Puducherry, 31-01-2020,Monthly,0.57,281698,34.59,Urban
Puducherry, 29-02-2020,Monthly,1.78,310342,38.5,Urban
Puducherry, 31-03-2020,Monthly,0.62,278851,34.12,Urban
Puducherry, 30-04-2020,Monthly,76.74,68122,35.54,Urban
Puducherry, 31-05-2020,Monthly,75,64538,31.25,Urban
Puducherry, 30-06-2020,Monthly,4.55,234926,29.73,Urban
Punjab, 31-05-2019,Monthly,13.49,3289918,40.03,Urban
Punjab, 30-06-2019,Monthly,13.17,3307798,40.02,Urban
Punjab, 31-07-2019,Monthly,11.61,3592442,42.62,Urban
Punjab, 31-08-2019,Monthly,11.99,3499863,41.61,Urban
Punjab, 30-09-2019,Monthly,15.69,3227178,39.97,Urban
Punjab, 31-10-2019,Monthly,13.75,3070438,37.1,Urban
Punjab, 30-11-2019,Monthly,10.39,3602243,41.82,Urban
Punjab, 31-12-2019,Monthly,11.97,3575778,42.17,Urban
Punjab, 31-01-2020,Monthly,13.68,3252622,39.04,Urban
Punjab, 29-02-2020,Monthly,11.99,3219227,37.82,Urban
Punjab, 31-03-2020,Monthly,9.97,3601793,41.29,Urban
Punjab, 30-04-2020,Monthly,1.13,2298975,23.95,Urban
Punjab, 31-05-2020,Monthly,20.54,2682658,34.71,Urban
Punjab, 30-06-2020,Monthly,10.55,3047750,34.96,Urban
Rajasthan, 31-05-2019,Monthly,13.62,5108436,39.44,Urban
Rajasthan, 30-06-2019,Monthly,14.36,5241174,40.73,Urban
Rajasthan, 31-07-2019,Monthly,11.67,5372470,40.38,Urban
Rajasthan, 31-08-2019,Monthly,14.71,5195170,40.34,Urban
Rajasthan, 30-09-2019,Monthly,12.63,5176819,39.15,Urban
Rajasthan, 31-10-2019,Monthly,13.02,5384335,40.8,Urban
Rajasthan, 30-11-2019,Monthly,14.3,5306715,40.73,Urban
Rajasthan, 31-12-2019,Monthly,18.04,5109481,40.9,Urban
Rajasthan, 31-01-2020,Monthly,18.82,5157363,41.59,Urban
Rajasthan, 29-02-2020,Monthly,17.02,5288343,41.62,Urban
Rajasthan, 31-03-2020,Monthly,18.54,4964911,39.71,Urban
Rajasthan, 30-04-2020,Monthly,35.53,2932923,29.57,Urban
Rajasthan, 31-05-2020,Monthly,25.35,4225486,36.71,Urban
Rajasthan, 30-06-2020,Monthly,13.04,5275784,39.26,Urban
Sikkim, 31-05-2019,Monthly,8.2,89587,48.61,Urban
Sikkim, 30-06-2019,Monthly,7.76,89702,48.13,Urban
Sikkim, 31-07-2019,Monthly,2.56,108334,54.67,Urban
Sikkim, 31-08-2019,Monthly,4.82,90850,46.63,Urban
Sikkim, 30-09-2019,Monthly,4.81,89450,45.61,Urban
Sikkim, 31-10-2019,Monthly,9.68,87974,46.97,Urban
Sikkim, 30-11-2019,Monthly,4.04,107751,53.8,Urban
Sikkim, 31-12-2019,Monthly,7.37,88035,45.24,Urban
Sikkim, 31-03-2020,Monthly,20.45,86186,50.57,Urban
Sikkim, 30-04-2020,Monthly,5.77,81905,40.31,Urban
Sikkim, 31-05-2020,Monthly,19.75,75456,43.32,Urban
Sikkim, 30-06-2020,Monthly,2.63,76269,35.85,Urban
Tamil Nadu, 31-05-2019,Monthly,0.89,11798080,37.31,Urban
Tamil Nadu, 30-06-2019,Monthly,1.56,12318745,39.16,Urban
Tamil Nadu, 31-07-2019,Monthly,3.18,12054414,38.89,Urban
Tamil Nadu, 31-08-2019,Monthly,9.53,11933093,41.13,Urban
Tamil Nadu, 30-09-2019,Monthly,1.86,11902824,37.76,Urban
Tamil Nadu, 31-10-2019,Monthly,1.13,12223948,38.42,Urban
Tamil Nadu, 30-11-2019,Monthly,2.65,11729952,37.38,Urban
Tamil Nadu, 31-12-2019,Monthly,8.05,12260389,41.29,Urban
Tamil Nadu, 31-01-2020,Monthly,2.05,11926995,37.64,Urban
Tamil Nadu, 29-02-2020,Monthly,3.31,11742101,37.48,Urban
Tamil Nadu, 31-03-2020,Monthly,6.46,10982178,36.17,Urban
Tamil Nadu, 30-04-2020,Monthly,45.55,4632967,26.17,Urban
Tamil Nadu, 31-05-2020,Monthly,25.95,5733921,23.77,Urban
Tamil Nadu, 30-06-2020,Monthly,24.93,7741005,31.6,Urban
Telangana, 31-05-2019,Monthly,1.52,5560649,44.59,Urban
Telangana, 30-06-2019,Monthly,1.43,5683349,45.43,Urban
Telangana, 31-07-2019,Monthly,3.73,5432503,44.36,Urban
Telangana, 31-08-2019,Monthly,4.19,5544693,45.39,Urban
Telangana, 30-09-2019,Monthly,6.19,5668785,47.28,Urban
Telangana, 31-10-2019,Monthly,6.74,5318341,44.51,Urban
Telangana, 30-11-2019,Monthly,5.23,5338119,43.87,Urban
Telangana, 31-12-2019,Monthly,4.22,5317782,43.13,Urban
Telangana, 31-01-2020,Monthly,6.49,5543380,45.95,Urban
Telangana, 29-02-2020,Monthly,6.74,5521496,45.78,Urban
Telangana, 31-03-2020,Monthly,6.1,5313236,43.65,Urban
Telangana, 30-04-2020,Monthly,10.5,3378431,29.05,Urban
Telangana, 31-05-2020,Monthly,36.57,3108830,37.63,Urban
Telangana, 30-06-2020,Monthly,6.92,4577995,37.68,Urban
Tripura, 31-05-2019,Monthly,34.69,423127,69.5,Urban
Tripura, 30-06-2019,Monthly,25.59,408738,58.8,Urban
Tripura, 31-07-2019,Monthly,25.81,410583,59.1,Urban
Tripura, 31-08-2019,Monthly,33.45,368977,59.07,Urban
Tripura, 30-09-2019,Monthly,33.57,418043,66.9,Urban
Tripura, 31-10-2019,Monthly,26.67,414808,60,Urban
Tripura, 30-11-2019,Monthly,27.15,427700,62.14,Urban
Tripura, 31-12-2019,Monthly,33.48,399427,63.41,Urban
Tripura, 31-01-2020,Monthly,34.37,450155,72.26,Urban
Tripura, 29-02-2020,Monthly,33.88,415339,66.04,Urban
Tripura, 31-03-2020,Monthly,25.69,450271,63.56,Urban
Tripura, 30-04-2020,Monthly,34.88,296431,47.65,Urban
Tripura, 31-05-2020,Monthly,16.78,384999,48.31,Urban
Tripura, 30-06-2020,Monthly,27.47,391015,56.17,Urban
Uttar Pradesh, 31-05-2019,Monthly,14.4,13391244,40.43,Urban
Uttar Pradesh, 30-06-2019,Monthly,11.62,13624452,39.75,Urban
Uttar Pradesh, 31-07-2019,Monthly,11.8,13862431,40.43,Urban
Uttar Pradesh, 31-08-2019,Monthly,14.73,13580241,40.87,Urban
Uttar Pradesh, 30-09-2019,Monthly,13.58,13522970,40.07,Urban
Uttar Pradesh, 31-10-2019,Monthly,10.35,13938303,39.71,Urban
Uttar Pradesh, 30-11-2019,Monthly,11.31,14128888,40.6,Urban
Uttar Pradesh, 31-12-2019,Monthly,12.37,13857200,40.21,Urban
Uttar Pradesh, 31-01-2020,Monthly,12.34,13656250,39.52,Urban
Uttar Pradesh, 29-02-2020,Monthly,11.65,13803099,39.54,Urban
Uttar Pradesh, 31-03-2020,Monthly,12.32,13889632,40,Urban
Uttar Pradesh, 30-04-2020,Monthly,26.94,10944379,37.74,Urban
Uttar Pradesh, 31-05-2020,Monthly,32.06,11111486,41.1,Urban
Uttar Pradesh, 30-06-2020,Monthly,13.05,13208724,38.09,Urban
Uttarakhand, 31-05-2019,Monthly,9.17,676797,26.33,Urban
Uttarakhand, 30-06-2019,Monthly,4.69,906889,33.54,Urban
Uttarakhand, 31-07-2019,Monthly,6.94,859900,32.48,Urban
Uttarakhand, 31-08-2019,Monthly,7.43,823967,31.21,Urban
Uttarakhand, 30-09-2019,Monthly,9.62,711150,27.51,Urban
Uttarakhand, 31-10-2019,Monthly,4.72,925174,33.87,Urban
Uttarakhand, 30-11-2019,Monthly,6.34,904903,33.61,Urban
Uttarakhand, 31-12-2019,Monthly,7.39,844779,31.65,Urban
Uttarakhand, 31-01-2020,Monthly,8.92,725253,27.55,Urban
Uttarakhand, 29-02-2020,Monthly,5.28,963408,35.11,Urban
Uttarakhand, 31-03-2020,Monthly,8.15,889245,33.33,Urban
Uttarakhand, 30-04-2020,Monthly,13.18,748041,29.59,Urban
Uttarakhand, 31-05-2020,Monthly,17.36,778590,32.27,Urban
Uttarakhand, 30-06-2020,Monthly,5.08,989470,35.61,Urban
West Bengal, 31-05-2019,Monthly,7.25,11306177,46.37,Urban
West Bengal, 30-06-2019,Monthly,7.38,10611498,43.51,Urban
West Bengal, 31-07-2019,Monthly,7.91,10779829,44.38,Urban
West Bengal, 31-08-2019,Monthly,7.27,11456493,46.77,Urban
West Bengal, 30-09-2019,Monthly,7.79,11158649,45.74,Urban
West Bengal, 31-10-2019,Monthly,7.83,10563686,43.25,Urban
West Bengal, 30-11-2019,Monthly,6.61,10768462,43.44,Urban
West Bengal, 31-12-2019,Monthly,7.24,11335696,45.97,Urban
West Bengal, 31-01-2020,Monthly,7.27,11208617,45.39,Urban
West Bengal, 29-02-2020,Monthly,7.55,10871168,44.09,Urban
West Bengal, 31-03-2020,Monthly,6.67,10806105,43.34,Urban
West Bengal, 30-04-2020,Monthly,15.63,9299466,41.2,Urban
West Bengal, 31-05-2020,Monthly,15.22,9240903,40.67,Urban
West Bengal, 30-06-2020,Monthly,9.86,9088931,37.57,Urban
